Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
10,3.705119524,-1.312600161,-16.59119311,1.638525623,-0.619620511,-13.18787889,1.638457936,-0.619783719,-7.367450273,1.275351976,-0.317163908,0.314401061,-5.781987218,-4.381029771,37.15569707,-10.80506534,-7.655711857,33.4327257,0.679942,5.191891073,-34.49760402,26.02074753,3.36771823,21.82348154,-32.69530969,87.92173359,43.59240816,17.04423686,10.91918491,-5.755211044,-17.2008306,2.606816384,-31.22573254,22.52671832,-2.467593552,6.929757718,-14.30975513,104.0565819,29.56436674,-0.690181301,5.267571955,-5.694567146,-1.844783953,3.455141491,17.78567862,-0.985306493,-6.283988459,12.57866114,-2.954529748,1.781117094,17.05685383,3.302026862,0.05572216,-2.963357596,-0.801211833,1.029405497,46.5789152,1.271501108,1.602723282,18.6208655,-3.225302481,12.20802407,1.465932635,0,0,0
11,3.664519603,-1.287143693,-16.49971546,1.620358289,-0.608607282,-13.14760562,1.620292561,-0.608768976,-7.327177351,1.260815872,-0.310672133,0.344521389,-5.794444679,-4.335524563,37.10455558,-10.82862756,-7.56802238,33.33363096,0.742031985,5.174945816,-34.297033,25.76513583,3.447515751,21.84080011,-32.27138216,88.11271427,43.31025017,16.77621592,11.03901135,-5.751808964,-17.22354531,2.562599125,-31.08150817,22.43361023,-2.615180484,6.785173945,-14.2696729,103.9070148,29.6555397,-0.401017704,5.101527682,-5.79582554,-1.256255095,3.128902638,17.75874682,-1.206364469,-6.536886458,14.04785044,-4.896631669,2.142500607,16.60814233,4.525452538,0.137453451,-4.527965865,-1.170639754,1.636860795,46.03281915,0.849158573,1.448954719,19.3534039,-1.963163934,11.96438012,2.445942562,0,0,0
12,3.634490521,-1.255366754,-16.41090447,1.606986509,-0.59485429,-13.10852125,1.606925141,-0.595020084,-7.288091568,1.249617618,-0.30171793,0.373761883,-5.778621985,-4.310931874,37.01606951,-10.80476866,-7.517531375,33.16481324,0.806667616,5.148334483,-34.11041945,25.52325913,3.503762169,21.80095534,-31.84094795,88.27144184,43.11535543,16.55673768,11.13771333,-5.781023398,-17.23481042,2.510492466,-30.95774428,22.38007169,-2.761994397,6.653383141,-14.31967456,103.7930486,29.73048569,-0.134657037,4.961589892,-5.854907891,-0.760192254,2.894368896,17.80239463,-1.411203248,-6.710437995,15.63690874,-6.648030246,2.52116972,15.87675858,5.660553516,0.26206618,-6.400289594,-1.554521977,2.031962007,45.37683223,0.600353791,1.411712265,19.82598897,-0.830449104,11.76343656,3.352117309,0,0,0
13,3.619369756,-1.218095062,-16.33067388,1.600352823,-0.57871367,-13.07324534,1.600296094,-0.578876561,-7.252818108,1.243233175,-0.290368933,0.400157253,-5.719947366,-4.331968212,36.86311148,-10.71071878,-7.548518995,32.87722413,0.860576593,5.110440374,-33.9419514,25.32366126,3.514326489,21.64871306,-31.40438194,88.37572393,43.08079551,16.43490837,11.18622341,-5.89994045,-17.22769907,2.444973385,-30.86033547,22.37177912,-2.884944568,6.568634155,-14.48990218,103.7500147,29.75111533,0.099775719,4.862423289,-5.847876939,-0.407485717,2.779239782,17.89548303,-1.581092614,-6.883802134,17.33206894,-8.238660038,3.015542629,14.657237,6.765374402,0.470617584,-8.981491367,-1.984706784,2.142173868,44.61564024,0.645058962,1.552200909,19.9898974,-0.018412783,11.57345247,4.095819412,0,0,0
14,3.614718622,-1.174605951,-16.25326916,1.598467482,-0.559881229,-13.03924095,1.598413588,-0.56003989,-7.21881727,1.24014907,-0.276590202,0.42560632,-5.633533248,-4.374856202,36.67304867,-10.57009822,-7.61880501,32.52094547,0.916982334,5.063009554,-33.78758727,25.13743676,3.504060493,21.44001736,-30.96036653,88.44882307,43.13201944,16.3605776,11.21272291,-6.052544461,-17.2090264,2.371287006,-30.78312986,22.40274433,-3.006700575,6.496692415,-14.75006823,103.7425827,29.7532175,0.31049549,4.790210634,-5.79917224,-0.148115001,2.754057341,18.06410584,-1.739437091,-6.981229541,19.14460621,-9.626167852,3.551401097,13.16097967,7.780670198,0.740824066,-11.87117056,-2.432536326,2.042386682,43.74980277,0.875103663,1.804002809,19.90132782,0.660007586,11.41988585,4.774038577,0,0,0
15,3.617258374,-1.119492078,-16.17903952,1.599924792,-0.535939644,-13.00669807,1.599869502,-0.53610471,-7.186268426,1.239104193,-0.258721751,0.449969622,-5.566064349,-4.387770652,36.52748008,-10.45846723,-7.636343029,32.24594595,1.003536715,5.022249972,-33.66416901,24.91054449,3.520336321,21.29704282,-30.54299216,88.51376925,43.15824936,16.32142763,11.1818045,-6.181137478,-17.18699604,2.276006891,-30.71393923,22.48345814,-3.117693395,6.434414976,-15.0050246,103.7492969,29.74448,0.392526874,4.779250686,-5.72183385,0.000919322,2.858313996,18.38280256,-1.891059545,-6.75127744,21.05942578,-10.39093384,3.703569615,12.02028622,8.320744364,0.891394711,-13.82947576,-2.756961373,1.8039689,42.85450373,1.076732802,2.089048951,19.68905438,1.303060812,11.33141488,5.397863853,0,0,0
16,3.629167601,-1.047883382,-16.10778823,1.605755672,-0.50473119,-12.97558119,1.605700036,-0.504903431,-7.155144062,1.240684121,-0.235051619,0.473260725,-5.537088925,-4.34374313,36.46817904,-10.40681834,-7.553068724,32.12858642,1.148879603,5.004924689,-33.58563018,24.61246861,3.578657694,21.2668536,-30.16155409,88.57983552,43.10675914,16.33272344,11.05523206,-6.262198131,-17.16057398,2.125064175,-30.64342302,22.6095504,-3.197233348,6.381304696,-15.23048696,103.7724026,29.71837876,0.246558937,4.86713696,-5.604672125,0.022901868,3.075533327,18.92783375,-1.987791828,-5.83636818,23.27175031,-10.20094012,3.019931994,11.45143929,8.049366411,0.793869529,-14.46662138,-2.885831907,1.347230806,41.91742986,1.176512507,2.417855608,19.34889228,1.945490486,11.37307233,5.972936945,0,0,0
17,3.647816717,-0.964644897,-16.03980775,1.614750428,-0.468378826,-12.94601727,1.614699653,-0.468548524,-7.125583461,1.244179413,-0.207253067,0.49536858,-5.526488042,-4.268627402,36.45310231,-10.38357444,-7.414637272,32.09178023,1.323772515,4.994740525,-33.53728322,24.27441761,3.661701876,21.30107291,-29.80707138,88.63696192,43.03159428,16.37844921,10.87025305,-6.31985408,-17.13056824,1.952345922,-30.58073831,22.78519746,-3.266164637,6.337528357,-15.45063852,103.8098092,29.68263102,-0.029089316,5.013892268,-5.461164174,-0.073807441,3.416823512,19.62416302,-2.044990124,-4.602040702,25.58229067,-9.462737737,1.845729634,11.23448871,7.304584533,0.557590625,-14.16478376,-2.904243241,0.742637967,40.95541281,1.245153057,2.784919033,18.88580503,2.550083522,11.47878567,6.496546675,0,0,0
18,3.662665855,-0.878961215,-15.97622067,1.622117157,-0.430871219,-12.91844086,1.622072704,-0.43103858,-7.098011373,1.246366722,-0.178732448,0.515974626,-5.520802893,-4.189277014,36.43817506,-10.36897297,-7.268195949,32.05521624,1.468858089,4.958203664,-33.49344013,23.93549831,3.766548496,21.37820379,-29.48667137,88.67894477,42.98289413,16.40011973,10.70555765,-6.367211449,-17.10814728,1.846406132,-30.54170088,23.03360616,-3.377583484,6.300560944,-15.64322143,103.8329562,29.66788923,-0.242114807,5.138255746,-5.340606598,-0.269220113,3.963764822,20.31935045,-2.204510852,-3.879593877,27.38826903,-8.838510966,0.938456788,11.40210757,6.723919009,0.295442168,-12.83318769,-2.898339864,0.286302419,40.08414763,1.286873274,3.085774887,18.44167514,3.109897765,11.48013323,6.963526639,0,0,0
19,3.668911275,-0.798630212,-15.91767102,1.625626987,-0.395626211,-12.89308574,1.625587456,-0.395793824,-7.072661621,1.24588172,-0.152234527,0.534906387,-5.516569288,-4.108143127,36.40008228,-10.35836069,-7.116889772,31.97545259,1.556631389,4.872629044,-33.44211504,23.60253615,3.903320651,21.49839549,-29.20156135,88.6934113,42.99129205,16.35739148,10.58753133,-6.399912302,-17.09543805,1.856438738,-30.53801128,23.38964249,-3.56249028,6.261644715,-15.82153114,103.8276875,29.69984064,-0.31242138,5.220713887,-5.254424986,-0.56898932,4.821025708,20.95298984,-2.628890642,-4.119645286,28.52844309,-8.513578398,0.596826295,12.23496247,6.807548702,-0.068667481,-9.813503292,-2.896555603,0.139897756,39.360477,1.302171101,3.280005874,18.08259503,3.630390396,11.27464456,7.364440278,0,0,0
